,Sentence,Technique
2844,Indifference kills,Loaded_Language
2845,"the Middle East today is weeping, suffering and silent as others trample upon those lands",Loaded_Language
2846,"These are odd statements coming from Pope Francis, a world-class Islamopanderer; notice that he said nothing about who was doing the persecuting, and implied that it was the fault of powers outside the Middle East",Doubt
2847,so much ferocity,Loaded_Language
2848,"Why, we ask the western world, why not raise one’s voice over so much ferocity and injustice",Doubt
2849,acts of brutality,Loaded_Language
2850,No one defends Islam like Arab Christians,Hyperbole
2851,chimerical “dialogue,Loaded_Language
2856,"? The Catholic Church is following Pope Francis’ lead, and Francis has said: “Christian terrorism does not exist, Jewish terrorism does not exist, and Muslim terrorism does not exist. They do not exist.” And he has also said: “Authentic Islam and the proper reading of the Koran are opposed to every form of violence",Doubt
2858,Why are your bishops silent on a threat that is yours today as well,Doubt
2862,bizarre,Loaded_Language
2865,our president,Jingoism
2866,shock the conscience,Loaded_Language
2867,grossly disproportionate to the severity,Loaded_Language
2868,overzealous,Loaded_Language
2869,dark years,Loaded_Language
2870,ridiculing,Loaded_Language
2871,murder,Loaded_Language
2872,fueled outrage,Loaded_Language
2873,very deliberately,Loaded_Language
2874,our nation's history,Jingoism
2879,small,Hyperbole
2880,shrugging at the murder,Hyperbole
2881,completely collapsed,Hyperbole
2884,aggressively,Loaded_Language
2885,glaring,Loaded_Language
2886,“overzealous”,Loaded_Language
2887,Americans,Jingoism
2888,shock the conscience,Loaded_Language
2889,grossly disproportionate to the severity,Loaded_Language
2890,overzealous,Loaded_Language
2891,injustice,Loaded_Language
2892,small,Hyperbole
2899,killing,Loaded_Language
2900,hateful,Loaded_Language
2901,torturing,Loaded_Language
2903,pummeling,Loaded_Language
2904,killer,Loaded_Language
2905,murderer,Loaded_Language
2906,tragic comedy of denial,Loaded_Language
2910,hit her mercilessly,Loaded_Language
2912,crazy,Loaded_Language
2913,crazy,Loaded_Language
2915,Every other Muslim terrorist,Hyperbole
2917,violently beaten,Loaded_Language
2918,every Islamic terrorism investigation inevitably becomes,Hyperbole
2920,tired farce,Loaded_Language
2921,hit,Loaded_Language
2922,stonewalled,Loaded_Language
2923,f**king,Loaded_Language
2924,b***h,Loaded_Language
2927,racial slurs,Loaded_Language
2934,Gun Control Is Now Truly Impossible,Hyperbole
2938,has now made gun control virtually impossible,Hyperbole
2940,I thought my life was over,Hyperbole
2941,"It will be an irrevocable part of political life that guns are downloadable, and we helped to do that",Hyperbole
2942,"hold hands, and sing Kumbaya",Loaded_Language
2944,I thought my life was over,Hyperbole
2945,the genie is out of the bottle,Loaded_Language
2947,What has the NRA done for you lately,Doubt
2948,a devastating blow,Loaded_Language
2949,the federal beast,Loaded_Language
2952,anyone can make a deadly weapon at home with no government oversight,Hyperbole
2953,"It will be an irrevocable part of political life that guns are downloadable, and we helped to do that",Hyperbole
2954,fun gun confiscation,Loaded_Language
2955,boasted,Loaded_Language
2956,his efforts have officially killed gun control,Hyperbole
2957,I barely put a million bucks into this and I got you the Second Amendment forever,Hyperbole
2958,"The DNA of our culture is preserved. This is the first pillar in the internet gun culture of tomorrow, and it is permanent",Jingoism
2959,This is a huge milestone in the history of our county,Hyperbole
2962,America’s great intelligence agencies,Jingoism
2963,hysteria,Loaded_Language
2965,Our Nation’s Great Comeback,Jingoism
2966,aggressively,Loaded_Language
2967,firestorm,Hyperbole
2972,weakness on a pathetic scale,Hyperbole
2974,harshest possible,Hyperbole
2976,bad,Loaded_Language
2977,the most serious,Hyperbole
2978,our,Jingoism
2981,loudest,Hyperbole
2982,The very,Hyperbole
2983,nastiness,Loaded_Language
2984,to protect America,Jingoism
2985,aggressive,Loaded_Language
2990,our,Jingoism
2991,our,Jingoism
2992,vicious,Loaded_Language
2993,ferociously,Loaded_Language
2994,"I ask, are Christians to submit to those who have sanctioned the murder of the innocent in the womb",Doubt
2995,"Are Christians to submit to those who have redefined marriage where a man can now ""marry"" a man and a woman can now ""marry"" a woman",Doubt
2996,Cried the speaker,Loaded_Language
2998,Submit to Tyranny,Loaded_Language
2999,this protestant ought to have stayed home to read their Bible rather than to protest corruption in government,Doubt
3000,maybe this individual should take the time to know a little bit of his own history! There is nothing worse than when a person who doesn’t know what they are talking about tries to tell you what the truth is,Doubt
3005,this protestant should know what the Bible says about those in authority,Doubt
3007,Absolutely not,Loaded_Language
3008,Of course not,Loaded_Language
3009,unfruitful works of darkness,Loaded_Language
3013,Absolutely not,Loaded_Language
3014,Absolutely not,Loaded_Language
3022,crying out,Loaded_Language
3023,teach such heresy,Loaded_Language
3026,"Of course, not",Loaded_Language
3029,execute wrath upon him that doeth evil,Loaded_Language
3030,"execute wrath upon ""him that doeth good",Loaded_Language
3031,"Anyone who teaches that they have authority to execute wrath upon ""him that doeth good” is ignorant and uneducated in their misleadings",Doubt
3039,cried aloud,Loaded_Language
3044,all of the evils,Loaded_Language
3045,Absolutely not,Loaded_Language
3055,"Furthermore, the individual that wrote the article teaching people to submit to authorities might want to take the time to read Romans 12:21 before perverting and twisting Romans 13, so that the next time he will not be guilty of twisting Scripture the way that Satan twists Scripture",Doubt
3056,Maybe he should have taken the time to look to the founding forefathers and that document which they drew up called “The Declaration of Independence,Jingoism
3058,"Submit to those who lie continuously, to them that steal and even kill",Doubt
3060,A Fool’s Errand,Loaded_Language
3061,created a ruckus,Loaded_Language
3062,This isn’t a case where the underlying facts of the law changed. The only thing that changed was the administration,Doubt
3063,deals a death blow,Loaded_Language
3064,extremely restrictive handgun regulations in those countries,Hyperbole
3065,"it will be difficult, if not impossible",Hyperbole
3066,make the already extremely difficult job of controlling access to guns practically impossible,Hyperbole
3067,even more laughable,Loaded_Language
3068,which have proven quite useless anyway,Doubt
3069,The government has been no more effective at stopping criminals from getting guns than at stopping them from obtaining drugs,Doubt
3070,"the government ""capitulated",Loaded_Language
3071,the administration “capitulated,Loaded_Language
3072,a game changer,Loaded_Language
3074,freaking out,Loaded_Language
3075,toxic,Loaded_Language
3077,our enemies,Jingoism
3079,outrage,Loaded_Language
3081,lame,Loaded_Language
3082,perfectly,Loaded_Language
3083,rotting,Loaded_Language
3085,grossly corrupt and evil men,Loaded_Language
3086,dedicated to the destruction of everything we want to preserve,Loaded_Language
3089,dark forces,Loaded_Language
3090,Well suck it up,Loaded_Language
3091,manifestly evil and apostate men,Loaded_Language
3098,beaten her to death,Loaded_Language
3100,"“Infidel, you must die”",Loaded_Language
3101,beheaded,Loaded_Language
3103,really excited,Loaded_Language
3105,nuts,Loaded_Language
3106,insane,Loaded_Language
3107,Maybe it's the authorities who are insane,Doubt
3112,DOING,Loaded_Language
3113,POLICIES,Loaded_Language
3114,very,Loaded_Language
3115,protect America,Jingoism
3121,weakness on a pathetic scale,Hyperbole
3122,silly,Loaded_Language
3123,"If President Trump were a mole, wouldn’t he have made life easier for Putin?",Doubt
3124,Wouldn’t he have eased sanctions?,Doubt
3125,Wouldn’t he have been less confrontational than Obama in Syria?,Doubt
3126,Wouldn’t the President be making Putin’s attempts at expanding his influence easier?,Doubt
3127,nastiness,Loaded_Language
3133,aggressive,Loaded_Language
3134,our,Jingoism
3137,hysteria,Loaded_Language
3138,ridiculous,Loaded_Language
3140,lethal,Loaded_Language
3141,incredibly repressive,Loaded_Language
3150,horrific,Loaded_Language
3151,most flagrant lies ever dreamed up,Hyperbole
3152,“greatest threat”,Hyperbole
3153,America,Jingoism
3154,hellbent,Loaded_Language
3155,flagrant lies,Loaded_Language
3156,At all,Hyperbole
3158,ensnare,Loaded_Language
3159,outright insane,Loaded_Language
3160,war-ravaged dystopias,Loaded_Language
3161,"but not surprising, given this administration’s worship at the altar of gun rights",Doubt
3163,Why on earth,Loaded_Language
3164,Why on earth would the Trump administration make it easier for terrorists and gunmen to produce undetectable plastic guns,Doubt
3166,put carnage a click away,Loaded_Language
3167,weed out,Loaded_Language
3170,Credit for this dangerous scenario — in which getting an AR-15-style rifle is just a matter of a few computer clicks — goes to the Trump administration for its inexplicable decision to settle a lawsuit it was on the verge of winning,Doubt
3171,So it was stunning,Loaded_Language
3172,this senseless decision,Loaded_Language
3173,this foolhardy move,Loaded_Language
3174,to plug the loopholes,Loaded_Language
3176,the most prolific serial predator,Hyperbole
3177,manipulative,Loaded_Language
3178,tragic,Loaded_Language
3198,tyrannical,Loaded_Language
3199,earthquake,Loaded_Language
3200,eerily,Loaded_Language
3201,orgy,Loaded_Language
3202,infuriating,Loaded_Language
3203,pathetic and laughable,Loaded_Language
3204,dreaded,Loaded_Language
3205,pervasive prelate coverup,Loaded_Language
3207,predation is unrelenting,Loaded_Language
3210,Are you thoroughly disgusted by this farce?,Loaded_Language
3211,to hell,Loaded_Language
3212,infamous,Loaded_Language
3214,psycho babble,Loaded_Language
3216,totally conflicted,Loaded_Language
3217,push the envelope further,Loaded_Language
3218,"So much time and money wasted, so many lives ruined",Hyperbole
3219,went all-in,Loaded_Language
3220,Disgraceful,Loaded_Language
3221,Prosecutors Doing Mueller’s ‘Dirty Work Are A Disgrace’ To America,Jingoism
3222,PROSECUTORS DOING MUELLER’S ‘DIRTY WORK ARE A DISGRACE’ TO AMERICA,Jingoism
3223,his 17 Angry Democrats that are doing his dirty work are a disgrace to USA,Jingoism
3224,opening up on Mueller and his team with both barrels of his massive Twitter,Loaded_Language
3226,Dirty Work,Loaded_Language
3230,DIRTY WORK,Loaded_Language
3234,dirty work,Loaded_Language
3237,potential blowback,Loaded_Language
3238,"one of the most successful in history, is a TOTAL HOAX",Hyperbole
3242,a TOTAL HOAX,Loaded_Language
3243,"The Democrats paid for the phony and discredited Dossier which was, along with Comey, McCabe, Strzok and his lover, the lovely Lisa Page, used to begin the Witch Hunt. Disgraceful",Doubt
3244,stain our country and further,Jingoism
3245,blasted,Loaded_Language
3246,dirty work,Loaded_Language
3247,dirty work,Loaded_Language
3248,dirty work,Loaded_Language
3250,before it continues to stain our country any further,Jingoism
3251,his 17 Angry Democrats that are doing his dirty work are a disgrace to USA,Jingoism
3252,"Attorney General Jeff Sessions should stop this Rigged Witch Hunt right now, before it continues to stain our country any further",Jingoism
3253,his 17 angry Democrats that are doing his dirty work are a disgrace to [sic] USA,Jingoism
3254,stain,Loaded_Language
3256,stain,Loaded_Language
3258,stain,Loaded_Language
3259,totally conflicted,Loaded_Language
3260,totally conflicted,Hyperbole
3263,NOW,Loaded_Language
3266,totally conflicted,Loaded_Language
3269,STOP THE ELECTION OF DONALD TRUMP,Loaded_Language
3270,"He should never, ever been allowed to",Hyperbole
3272,to stop the will of We the People,Jingoism
3273,to jail Mueller,Loaded_Language
3275,Lock them all up this has to end,Loaded_Language
3276,FJmng7Z — Sen. Patrick Le,Loaded_Language
3277,totally conflicted,Hyperbole
3278,"This is a terrible situation and Attorney General Jeff Sessions should stop this Rigged Witch Hunt right now, before it continues to stain our country any further",Jingoism
3279,the president’s most explicit post or statement to date,Hyperbole
3280,"Bob Mueller is totally conflicted, and his 17 Angry Democrats that are doing his dirty work are a disgrace to USA",Jingoism
3282,This is an attempt to obstruct justice hiding in plain sight. America must never accept it,Jingoism
3284,tainted by bias,Loaded_Language
3286,totally conflicted,Loaded_Language
3288,and his 17 Angry Democrats that are doing his dirty work are a disgrace to USA,Doubt
3289,"Manafort was being treated worse than Al Capone, the notorious Prohibition-era Chicago gangster",Hyperbole
3290,hiding in plain sight,Loaded_Language
3291,hiding in plain sight,Loaded_Language
3292,unabated anger,Loaded_Language
3293,"Two months ago, Trump tweeted that he should have chosen a different person as attorney general who wouldn’t have needed to recuse himself. “I wish I did!” he wrote",Doubt
3294,misdirecting his ire,Loaded_Language
3296,a blanket purge,Loaded_Language
3297,reeling over,Loaded_Language
3298,purges the names,Loaded_Language
3299,deadliest wars in history,Hyperbole
3300,most flagrant lies ever dreamed up,Hyperbole
3302,Americans,Jingoism
3303,slaughtered,Loaded_Language
3304,At all,Loaded_Language
3305,aggressive,Loaded_Language
3306,flagrant lies,Loaded_Language
3307,tens of thousands,Loaded_Language
3308,What proof of this can possibly be offered? How can we know,Doubt
3309,a miscarriage of human justice beyond any the world could ever have imagined,Hyperbole
3311,punished sevenfold,Hyperbole
3312,"fruitless, guilty “vengeance",Loaded_Language
3313,most odious sins,Hyperbole
3314,totally terminated,Hyperbole
3315,total extinction,Hyperbole
3316,settle their accounts,Loaded_Language
3317,Every one of us is born on Death Row and lives out his allotted lifespan in its shadow without hope of reprieve,Hyperbole
3318,thou shalt die the death,Loaded_Language
3320,God curses him,Loaded_Language
3321,dooming him,Loaded_Language
3323,so wicked,Loaded_Language
3325,so heinous,Loaded_Language
3333,imprudent,Loaded_Language
3335,ruthlessly remedied,Loaded_Language
3336,the fallen human condition,Loaded_Language
3337,the author of the letter falls headlong into the very error Pius XII warns against,Doubt
3338,The supernatural dimension of the punishment,Loaded_Language
3339,the spiritual good,Loaded_Language
3340,to rise dramatically,Loaded_Language
3341,have abolished,Loaded_Language
3342,leaps to the eye,Loaded_Language
3343,the spiritual welfare of citizens,Loaded_Language
3344,future bliss in heaven,Loaded_Language
3345,completely obliterates,Hyperbole
3346,"it terminates only his temporal life on earth, catapulting him into eternity for his final judgment before almighty God",Loaded_Language
3349,the spiritual welfare of citizens,Loaded_Language
3351,physical extinction,Loaded_Language
3352,the faith teaches that eternal damnation is incalculably worse,Hyperbole
3353,cannot be compared with his future endless existence in heaven,Hyperbole
3354,through the fabric of human civilizations,Loaded_Language
3357,obliterating the death penalty,Loaded_Language
3359,eternal bliss in heaven,Loaded_Language
3360,one of the cruelest means ever devised,Hyperbole
3364,abolish,Loaded_Language
3365,the wages of sin,Loaded_Language
3366,capable of committing incalculably more grievous sins than heretofore,Hyperbole
3367,our hereditary inclination to evil,Loaded_Language
3368,the inescapable consequence of our fallen nature,Loaded_Language
3370,transcends human legislation,Loaded_Language
3372,shallow,Loaded_Language
3373,how shallow Catholic thinking on the death penalty has become and how far it has deviated from the age-old doctrine of the Church,Doubt
3374,incalculably more grievous,Loaded_Language
3375,horrify,Loaded_Language
3376,the most unprecedented persecution,Hyperbole
3377,especially horrified,Loaded_Language
3378,extremely worried,Loaded_Language
3379,It is a true disgrace,Loaded_Language
3380,it was an absolute disgrace,Loaded_Language
3381,the tsunami of vindictive personal abuse,Loaded_Language
3383,"his own government, the government of his homeland, Australia, applied legitimate diplomatic pressure on behalf of its citizen",Jingoism
3384,bogus sexual assault charges,Loaded_Language
3385,heaped upon,Loaded_Language
3386,We must ask ourselves why this hasn’t happened,Doubt
3387,something he would not even contemplate,Hyperbole
3389,the British police would offer Julian “a warm welcome” when he came out,Loaded_Language
3390,the milieu of machination,Loaded_Language
3393,Nothing in my time as a journalist has equaled the rise of WikiLeaks and its extraordinary impact on journalism,Hyperbole
3394,the only journalistic organization that has a 100% record of accuracy and authenticity,Hyperbole
3395,extreme jihadism,Loaded_Language
3396,an extraordinary public service,Hyperbole
3401,it does move in lockstep with the US,Loaded_Language
3403,virtually none of this emerges,Hyperbole
3404,You are absolutely right,Hyperbole
3405,the tsunami of vindictive personal abuse,Hyperbole
3406,the most enlightened newspaper in the country,Hyperbole
3408,deeply personal abuse,Loaded_Language
3410,the great atrocities of histories,Loaded_Language
3411,irreversible tragedy,Loaded_Language
3412,"What didn’t emerge was the whole conflict of interest in this hearing. The judge’s husband is a figure deep within the national security establishment in Britain who was named in WikiLeaks documents. Because there is no serious media examining the whole WikiLeaks witch hunt, virtually none of this emerges",Doubt
3413,super-max hellhole,Loaded_Language
3414,horrific scandal,Loaded_Language
3415,playing dumb,Loaded_Language
3416,remain in the toilet,Loaded_Language
3417,forces of darkness,Loaded_Language
3418,if that is even possible,Loaded_Language
3419,gut-wrenching stories,Loaded_Language
3420,ideology of evil,Loaded_Language
3421,everlasting damnation,Loaded_Language
3422,we call FOUL even louder,Loaded_Language
3423,gross dereliction of duty,Loaded_Language
3424,willful deception,Loaded_Language
3425,scandalized,Loaded_Language
3426,truly homophobic,Loaded_Language
3427,dreamed up,Loaded_Language
3428,a hideous violation,Loaded_Language
3429,the strong and vibrant faith,Loaded_Language
3430,sober reminders,Loaded_Language
3431,candid explanation,Loaded_Language
3432,stop humiliating herself by stooping to accommodate,Loaded_Language
3433,more insidious,Loaded_Language
3434,to pit human rights against the family and man,Loaded_Language
3435,ANY sins of the flesh,Loaded_Language
3436,closing an episcopal eye to,Loaded_Language
3437,sinning proudly,Loaded_Language
3438,green-lighting vice and mortal sin,Loaded_Language
3439,cries to heaven for vengeance,Loaded_Language
3440,our nation,Jingoism
3441,"we hope and pray that all the good U.S. bishops would jump at the opportunity to issue statements reaffirming the Church's clear teaching against all sins of the flesh, homo- and heterosexual",Jingoism
3464,"Are Father Martin and his pals in the episcopacy really so enlightened over every pope, saint, and moral theologian in history",Doubt
3465,So why are our bishops playing dumb,Doubt
3466,"Who are these bishops that think they can play fast and loose not only with the moral theology of the Catholic Church, but also with the immortal souls of their flock",Doubt
3467,Under no circumstances…except for those dreamed up by a number of bishops in this country who apparently think that it should be left up to individual parishes to decide if they are LGBTQ-friendly or not,Doubt
3468,"Or is it not so that it is both negligent and uncharitable for some bishops to refuse to inform their faithful that according to the Church's own infallible teaching, everlasting damnation is the price to be paid for this kind of inclusivity and toleration",Doubt
3469,"It is truly homophobic for any bishop to lie to the gay community about this, and to risk the immortal souls of the sheep merely so that the shepherd might pride himself on occupying the politically correct high ground",Doubt
3470,"Is it any wonder that priests and laity alike are changing their attitude on the ""gay lifestyle"" and violations of the Sixth Commandment when so many bishops are working to remove the stigma attached to this sin that Scripture tells us cries to heaven for vengeance",Doubt
3476,the 2005 and 2007 settlements were apparently considered ancient history,Hyperbole
3477,a hideous violation of everything these bishops supposedly believe as Catholic priests,Hyperbole
3478,will remain in the toilet indefinitely,Hyperbole
3479,To make matters worse (if that is even possible,Hyperbole
3480,profoundly disturbing,Loaded_Language
3481,"Well played, Cardinal Wuerl",Loaded_Language
3482,rampant homosexuality,Loaded_Language
3483,"heretical homilies, sodomitical clergy and an increasingly lavender liturgy",Loaded_Language
3484,unfairly smearing,Loaded_Language
3485,after the scandal erupted,Loaded_Language
3486,have reopened wounding questions,Loaded_Language
3487,"All this and rampant homosexuality in the priesthood, too... along with a ""trivialized liturgy"" (according to Pope Benedict XVI) and widespread apostasy among the faithful? Remind me again: What exactly has Vatican II and the last fifty years of aggiornamento given us? Because I can't seem to think of a darn thing, apart from heretical homilies, sodomitical clergy and an increasingly lavender liturgy",Doubt
3488,of a darn thing,Loaded_Language
3489,"You know what, guys? Thanks, but no thanks. You can take your 'Church of Accompaniment"" to prison with you. I'd sooner let my kids be accompanied by fans of the Oakland Raiders than turn them over to you",Doubt
3490,on the cutting edge of change,Loaded_Language
3491,"Thanks, but no thanks",Loaded_Language
3492,an information war,Loaded_Language
3493,"But recent abuse-related scandals, from Chile to Australia, have reopened wounding questions about accountability and whether church officials are still covering up crimes at the highest levels",Doubt
3494,The new wave of allegations has called Pope Francis’s handling of abuse into question as many Catholics look to him to help the church regain its credibility,Doubt
3495,"The pope’s track record has been mixed, something some outsiders attribute to his learning curve or shortcomings",Doubt
3497,a towering figure in the U.S. church,Hyperbole
3498,"And how honest the church has been about this crisis. Most bishops, besides apologies, have not been on the cutting edge of change",Doubt
3499,"I know, lots of luck with that one",Loaded_Language
3501,"These are the people that are going to ""accompany us"" and our children in the ""synodal Church"" with its new orientation",Doubt
3502,You don't say,Loaded_Language
3504,"take your 'Church of Accompaniment"" to prison with you",Loaded_Language
3518,disgraceful,Loaded_Language
3519,deviant sexual,Loaded_Language
3520,mortal sin,Loaded_Language
3521,immense,Loaded_Language
3522,gravely hurt,Loaded_Language
3523,sickening,Loaded_Language
3524,evil,Loaded_Language
3525,seriously scandalous,Loaded_Language
3526,appalling actions,Loaded_Language
3527,sin so grave that it cries out to heaven for vengeance,Loaded_Language
3528,wickedness,Loaded_Language
3529,hated with a perfect hatred,Loaded_Language
3530,swiftly and vigorously,Loaded_Language
3531,scandalous,Loaded_Language
3532,sinful and scandalous,Loaded_Language
3533,vile clergy sex,Loaded_Language
3534,thoroughly scandalized flocks,Loaded_Language
3535,gruesome detail,Loaded_Language
3536,wreaking great devastation in the vineyard of the Lord,Loaded_Language
3537,"stave off, this deep illness in the Church",Loaded_Language
3538,the wrath of the enemies of the Church,Loaded_Language
3539,sins and outrages,Loaded_Language
3540,light in the darkness,Loaded_Language
3541,DEFEND BISHOP MORLINO,Loaded_Language
3542,the Church needs now is more hatred,Loaded_Language
3543,the license for sin to have a home in individuals at every level of the Church,Loaded_Language
3544,what the Church needs now is more hatred,Loaded_Language
3545,"injure the very Body of Christ, His Church",Loaded_Language
3546,our own personal holiness,Loaded_Language
3547,cast out sin from our own lives and run toward holiness,Loaded_Language
3548,look the beast in the eye and speak its name out loud,Loaded_Language
3549,crucified,Loaded_Language
3550,scurrilous,Loaded_Language
3567,the most vile clergy sex scandal in history,Hyperbole
3568,a whole slew of issues,Hyperbole
3569,"They will be crucified in the media, yes",Hyperbole
3570,they are absolutely committed to the defense and enforcement of the Church’s moral teaching,Hyperbole
3571,"quite literally, enough to make someone sick",Hyperbole
3572,the most notorious and highest in ranking case,Hyperbole
3573,wreaking great devastation,Hyperbole
3574,a sin so grave that it cries out to heaven for vengeance,Hyperbole
3581,Why do we do this? Is it out of an earnest desire to display a misguided sense of being “pastoral?” Have we covered over the truth out of fear? Are we afraid of being disliked by people in this world? Or are we afraid of being called hypocrites because we are not striving tirelessly for holiness in our own lives,Doubt
3588,dirty,Loaded_Language
3590,intrinsically disordered,Loaded_Language
3591,sordid,Loaded_Language
3592,masterfully,Hyperbole
3593,manipulated,Loaded_Language
3594,rigged,Loaded_Language
3595,exploited,Loaded_Language
3598,clergy predation scandal,Loaded_Language
3599,blasted,Loaded_Language
3600,predators,Loaded_Language
3601,coverup enablers,Loaded_Language
3603,brutally,Loaded_Language
3605,devastation,Loaded_Language
3606,a mockery,Loaded_Language
3608,sneaky,Loaded_Language
3609,predatory homosexual predation,Loaded_Language
3611,looking for trouble,Loaded_Language
3612,bashing,Loaded_Language
3613,looking for trouble,Loaded_Language
3615,looking for trouble,Loaded_Language
3618,the president dictated a misleading statement about it a year later and it remains murky just when he learned about the meeting,Doubt
3619,cryptically,Loaded_Language
3620,saying cryptically,Loaded_Language
3621,his staff amounts to nothing more than a “group of Angry Democrat Thugs,Hyperbole
3623,remains murky,Loaded_Language
3624,first floated,Loaded_Language
3626,in Trump’s orbit,Loaded_Language
3627,"Trump also continued to cast himself as a victim in the matter, saying when he attempts to “FIGHT BACK or say anything bad about the Rigged Witch Hunt,” his critics “scream Obstruction",Doubt
3628,FIGHT BACK,Loaded_Language
3630,"But legal experts say anyone in Trump’s orbit would be charged with conspiracy, making false statements to federal investigators or obstructing justice. All are federal crimes",Doubt
3631,phony crime,Loaded_Language
3632,scream Obstruction,Loaded_Language
3634,how much filth,Loaded_Language
3635,The heart-wrenching pain,Loaded_Language
3636,"With shame and repentance, we acknowledge as an ecclesial community that we were not where we should have been, that we did not act in a timely manner, realizing the magnitude and the gravity of the damage done to so many lives. We showed no care for the little ones; we abandoned them",Doubt
3637,"Like his predecessor, Francis has promised “zero tolerance” on child abuse, but scandals have kept recurring in several parts of the world — including in Australia recently",Doubt
3638,rocked by clergy sex abuse scandals,Loaded_Language
3639,which cries out to heaven,Loaded_Language
3640,with sorrow and shame,Loaded_Language
3641,I’m not sure what his words will be and I’m not sure that a simple apology is what survivors of abuse want,Doubt
3642,"If he expresses an apology, it needs to be more than ‘we’re sorry",Doubt
3643,With shame and repentance,Loaded_Language
3644,no effort to beg pardon and to seek to repair the harm done will ever be sufficient,Hyperbole
3645,"The pope) begs for forgiveness, but still does not admit or own the deliberate policy of cover up designed & implemented by the #Vatican",Doubt
3646,outcry,Loaded_Language
3647,"the Catholic Church still has no credible, transparent process for handling cases when the accusation against a bishop isn’t the direct commission of abuse but rather covering up someone else’s crimes",Doubt
3648,the Catholic Church has a structural problem when it comes to dealing with cover up accusations,Doubt
3649,erupted,Loaded_Language
3650,What kind of man is this,Doubt
3651,blasted,Loaded_Language
3652,fired back,Loaded_Language
3653,lashes back,Loaded_Language
3654,nearly constant complaints from Trump,Hyperbole
3655,"You’re wrong, Mr. President",Doubt
3657,the president’s public scorn,Loaded_Language
3658,the former Alabama senator “never took control of the Justice Department,Doubt
3659,unprecedented success at effectuating the President’s agenda,Hyperbole
3660,"no nation has a more talented, more dedicated group of law enforcement investigators and prosecutors than the United States",Hyperbole
3661,"one that protects the safety and security and rights of the American people, reduces violent crime, enforces our immigration laws, promotes economic growth, and advances religious liberty",Jingoism
3662,"However, no nation has a more talented, more dedicated group of law enforcement investigators and prosecutors than the United States",Jingoism
3663,run rampant,Loaded_Language
3664,horrendous sins,Loaded_Language
3665,poured fiery sulfur,Loaded_Language
3670,"Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families",Doubt
3673,How ridiculous,Loaded_Language
3674,love wounds itself by killing justice,Loaded_Language
3675,How often I see and hear the professors of Christianity today walking contrary to the word and spirit of the Living Christ,Doubt
3676,"How willing they are to overlook judgment when it comes to the criminals that run rampant in this country, and on the other hand how willing they are to show compassion to the criminals while overlooking the victims",Doubt
3687,so that we can have sex with them,Loaded_Language
3688,rained down burning sulfur,Loaded_Language
3689,wanted to perform homosexual gang rape on the two angels,Loaded_Language
3690,morally disgusting,Loaded_Language
3691,gave themselves up to sexual immorality and perversion,Loaded_Language
3692,There is probably nothing more inhospitable than homosexual gang rape,Loaded_Language
3698,illegally indoctrinating them,Loaded_Language
3700,to submit to tyranny,Loaded_Language
3701,the prevailing immoralities and debauchers of society,Loaded_Language
3702,"Professed Christians in America today talk much of love through inaction, and yet know nothing of it (1 John 3:18). They read what to do, but do it not! In fact, they declare and proclaim how much they love God, and yet if you were to have them read His moral law and look to their own lives, they would find how much they actually hate God through their actions (Matthew 15:8",Doubt
3703,"Instead of reaching out to the greatest demographic here in America, public high schools, they send missionaries to foreign lands to do there what they fail to do for their own here. Instead of fighting for their posterity and shutting down the illegalities of sodomy in all 50 states, they teach them to just do their best to understand that they cannot help themselves while God say’s the opposite (Leviticus 20:18",Doubt
3704,"Instead of fighting on their behalf against the federal government that is illegally indoctrinating them, they simply give their kids over to them to be dumbed down",Doubt
3705,"And instead of protesting the murder of 58 million innocent babies (Proverbs 6:17), they merely pass it off as a ""choice,"" that being the lessons that they learned from the media that they say that they do not believe (Romans 1:18). The American Church, instead of protesting corruption in government through the example of the Biblical patriarchs and our American forefathers (Matthew 5:17-18), teach to submit to tyranny as if to suggest that it is somehow obedience to God (Romans 12:21",Doubt
3706,The Church in America has failed to keep the Commandments of the God of Israel,Doubt
3707,Look to their feigned strength that they profess to possess. It is gauged by simply looking to the prevailing immoralities and debauchers of society. They are weak and pathetic and they have no excuses as to why America is where we is today,Doubt
3711,through tolerance and apathy Americans are bringing upon themselves destruction,Doubt
3712,bringing upon themselves destruction,Loaded_Language
3714,How do you show mercy to a people who observe lying vanities (Jonah 2:4) and refuse to return to the Lord (Jeremiah 6:16) on His terms,Doubt
3715,"Instead of reaching out to the greatest demographic here in America, public high schools, they send missionaries to foreign lands to do there what they fail to do for their own here",Jingoism
3716,They are weak and pathetic and they have no excuses as to why America is where we is today,Jingoism
3717,a bizarre twist,Loaded_Language
3718,to take another dig,Loaded_Language
3720,and so much more,Hyperbole
3722,The record-setting prison sentence,Hyperbole
3723,her sentence of 63 months in federal prison was unfair and accused Sessions of having a double standard,Doubt
3724,"So unfair Jeff, Double Standard",Doubt
3725,continued pounding,Loaded_Language
3727,demonic,Loaded_Language
3728,perverts,Loaded_Language
3729,perverse,Loaded_Language
3730,lecherous and pathetic,Loaded_Language
3731,rampant,Loaded_Language
3733,abominable,Loaded_Language
3734,genocide,Loaded_Language
3735,depraved,Loaded_Language
